date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:28:50	2318/2318	---M--	200	added ('OK')	text/plain	etag:%225bad3dd9-90e%22	https://www.flipkart.com/robots.txt		(from )
12:28:52	786021/786021	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2006:58:52%20GMT	https://www.flipkart.com/	C:/My%20Web%20Sites/flipkart/www.flipkart.com/index.html	(from )
12:28:53	554478/554478	---M-Z	200	added ('OK')	text/css	etag:%22d36dc88b9a37a6b674977867e7386b41%22	http://img1a.flixcart.com/www/linchpin/fk-cp-zion/css/bundle.086be7.css	C:/My%20Web%20Sites/flipkart/img1a.flixcart.com/www/linchpin/fk-cp-zion/css/bundle.086be7.css	(from https://www.flipkart.com/)
12:28:55	4523/4523	---M--	200	added ('OK')	image/png	etag:%229fddfff25f1ffa73f711f4f5c68050f1%22	http://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fk-logo_9fddff.png	C:/My%20Web%20Sites/flipkart/img1a.flixcart.com/www/linchpin/fk-cp-zion/img/fk-logo_9fddff.png	(from https://www.flipkart.com/)
12:28:57	107/107	---MC-	503	error ('Service%20Unavailable')	text/html	date:Tue,%2002%20Oct%202018%2006:58:59%20GMT	https://www.flipkart.com/osdd.xml?v=2	C:/My%20Web%20Sites/flipkart/www.flipkart.com/osdd.25e1f.delayed	(from https://www.flipkart.com/)
12:28:58	107/107	---MC-	503	error ('Service%20Unavailable')	text/html	date:Tue,%2002%20Oct%202018%2006:59:00%20GMT	https://www.flipkart.com/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/flipkart/www.flipkart.com/apple-touch-icon-57x57.3.delayed	(from https://www.flipkart.com/)
12:29:00	107/107	---MC-	503	error ('Service%20Unavailable')	text/html	date:Tue,%2002%20Oct%202018%2006:59:02%20GMT	https://www.flipkart.com/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/flipkart/www.flipkart.com/apple-touch-icon-72x72.4.delayed	(from https://www.flipkart.com/)
12:29:00	107/107	---MC-	503	error ('Service%20Unavailable')	text/html	date:Tue,%2002%20Oct%202018%2006:58:31%20GMT	https://www.flipkart.com/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/flipkart/www.flipkart.com/apple-touch-icon-114x114.5.delayed	(from https://www.flipkart.com/)
12:29:01	107/107	---MC-	503	error ('Service%20Unavailable')	text/html	date:Tue,%2002%20Oct%202018%2006:59:03%20GMT	https://www.flipkart.com/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/flipkart/www.flipkart.com/apple-touch-icon-144x144.6.delayed	(from https://www.flipkart.com/)
12:29:02	2336/2336	---M-Z	200	added ('OK')	text/javascript	etag:%227d3c57d787190dd0dc40006f58ba6413%22	http://img1a.flixcart.com/www/linchpin/fk-cp-zion/js/manifest.2424f063.js	C:/My%20Web%20Sites/flipkart/img1a.flixcart.com/www/linchpin/fk-cp-zion/js/manifest.2424f063.js	(from https://www.flipkart.com/)
12:29:06	241425/241425	---M-Z	200	added ('OK')	text/javascript	etag:%227287ca8f73d456683a211ac8b0221596%22	http://img1a.flixcart.com/www/linchpin/fk-cp-zion/js/vendor.b9b2402a.js	C:/My%20Web%20Sites/flipkart/img1a.flixcart.com/www/linchpin/fk-cp-zion/js/vendor.b9b2402a.js	(from https://www.flipkart.com/)
12:29:08	1780/1780	---M--	404	error ('Not%20Found')	text/html	etag:%225bad3dd9-6f4%22	https://www.flipkart.com/android-app://com.flipkart.android/flipkart/hp_seg	C:/My%20Web%20Sites/flipkart/www.flipkart.com/android-app_/com.flipkart.android/flipkart/hp_seg.b.delayed	(from https://www.flipkart.com/)
12:29:09	5843/5843	---M--	200	added ('OK')	image/png	etag:%224ee2f9a3c142aebace75edac20a49233%22	http://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/flipkart-plus_4ee2f9.png	C:/My%20Web%20Sites/flipkart/img1a.flixcart.com/www/linchpin/fk-cp-zion/img/flipkart-plus_4ee2f9.png	(from https://www.flipkart.com/)
12:29:09	485571/485571	---M-Z	200	added ('OK')	text/javascript	etag:%220002afbb7626be89a3e23b8d9a8c0711%22	http://img1a.flixcart.com/www/linchpin/fk-cp-zion/js/MultiWidgetPage.db84a552.js	C:/My%20Web%20Sites/flipkart/img1a.flixcart.com/www/linchpin/fk-cp-zion/js/MultiWidgetPage.db84a552.js	(from https://www.flipkart.com/)
12:29:11	39554/39554	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2006:59:12%20GMT	https://www.flipkart.com/plus	C:/My%20Web%20Sites/flipkart/www.flipkart.com/plus.html	(from https://www.flipkart.com/)
12:29:11	1756/1756	---M--	200	added ('OK')	image/png	etag:%22b13a8b37134511798ad6e1392d5fbf31%22	http://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/plus_b13a8b.png	C:/My%20Web%20Sites/flipkart/img1a.flixcart.com/www/linchpin/fk-cp-zion/img/plus_b13a8b.png	(from https://www.flipkart.com/)
