date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:26	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2014%20Feb%202020%2007:49:29%20GMT	http://gallantsalons.com/robots.txt		(from )
13:19:35	59161/59161	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202020%2007:49:35%20GMT	http://gallantsalons.com/	C:/My%20Web%20Sites/gab/gallantsalons.com/index.html	(from )
13:19:36	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2014%20Feb%202020%2007:49:39%20GMT	http://gallantsalons.com/xmlrpc.php	C:/My%20Web%20Sites/gab/gallantsalons.com/xmlrpc.0.delayed	(from http://gallantsalons.com/)
13:19:40	38400/38400	---M--	200	added ('OK')	text/css	date:Sat,%2023%20Sep%202017%2008:48:33%20GMT	http://gallantsalons.com/wp-content/themes/moesia/css/bootstrap/bootstrap.min.css?ver=1	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/css/bootstrap/bootstrap.min68b3.css	(from http://gallantsalons.com/)
13:19:41	1661/1661	---MC-	200	added ('OK')	application/rss+xml	etag:%22e5cbe509cbc1fb50fc193e9a558dff69%22	http://gallantsalons.com/comments/feed/	C:/My%20Web%20Sites/gab/gallantsalons.com/comments/feed/index.html	(from http://gallantsalons.com/)
13:19:42	742/742	---MC-	200	added ('OK')	application/rss+xml	etag:%22e5cbe509cbc1fb50fc193e9a558dff69%22	http://gallantsalons.com/front-page/feed/	C:/My%20Web%20Sites/gab/gallantsalons.com/front-page/feed/index.html	(from http://gallantsalons.com/)
13:19:42	14484/14484	---MC-	200	added ('OK')	application/rss+xml	etag:%22e4039302647d2eebc01a0c75b8bda057%22	http://gallantsalons.com/feed/	C:/My%20Web%20Sites/gab/gallantsalons.com/feed/index.html	(from http://gallantsalons.com/)
13:19:42	971/971	---M--	200	added ('OK')	text/css	etag:%22988095f-3cb-57182c95e1658%22	http://gallantsalons.com/wp-content/plugins/siteorigin-panels/css/front-flex.min.css?ver=2.7.3	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/plugins/siteorigin-panels/css/front-flex.minde39.css	(from http://gallantsalons.com/)
13:19:43	45229/45229	---MC-	200	added ('OK')	text/javascript	date:Thu,%2006%20Feb%202020%2000:21:02%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/gab/www.google-analytics.com/analytics.js	(from http://gallantsalons.com/)
13:19:43	40526/40526	---M--	200	added ('OK')	text/css	etag:%2298a07a6-9e4e-559d763fb0f2c%22	http://gallantsalons.com/wp-content/themes/moesia/style.css?ver=4.9.13	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/stylec8f9.css	(from http://gallantsalons.com/)
13:19:44	31000/31000	---M--	200	added ('OK')	text/css	etag:%2298a0789-7918-559d763f619a4%22	http://gallantsalons.com/wp-content/themes/moesia/fonts/font-awesome.min.css?ver=4.9.13	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/fonts/font-awesome.minc8f9.css	(from http://gallantsalons.com/)
13:19:45	19888/19888	---M--	200	added ('OK')	text/css	etag:%2298a0726-4db0-559d763f5e6dc%22	http://gallantsalons.com/wp-content/themes/moesia/inc/prettyphoto/css/prettyPhoto.min.css?ver=4.9.13	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/inc/prettyphoto/css/prettyPhoto.minc8f9.css	(from http://gallantsalons.com/)
13:19:46	52789/52789	---M--	200	added ('OK')	text/css	date:Sat,%2023%20Sep%202017%2008:48:33%20GMT	http://gallantsalons.com/wp-content/themes/moesia/css/animate/animate.min.css?ver=4.9.13	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/css/animate/animate.minc8f9.css	(from http://gallantsalons.com/)
13:19:49	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%2298a03fa-2748-5333ff613c400%22	http://gallantsalons.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://gallantsalons.com/)
13:19:49	9028/9028	---M--	200	added ('OK')	application/javascript	etag:%2298a0712-2344-559d763f5e2f4%22	http://gallantsalons.com/wp-content/themes/moesia/js/waypoints.min.js?ver=1	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/js/waypoints.min68b3.js	(from http://gallantsalons.com/)
13:19:51	612/612	---M--	200	added ('OK')	application/javascript	etag:%2298a0710-264-559d763f5df0c%22	http://gallantsalons.com/wp-content/themes/moesia/js/carousel-init.js?ver=1	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/js/carousel-init68b3.js	(from http://gallantsalons.com/)
13:19:52	41564/41564	---M--	200	added ('OK')	application/javascript	date:Sat,%2023%20Sep%202017%2008:48:33%20GMT	http://gallantsalons.com/wp-content/themes/moesia/js/slick.min.js?ver=1	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/js/slick.min68b3.js	(from http://gallantsalons.com/)
13:19:54	21506/21506	---M--	200	added ('OK')	application/javascript	etag:%2298a072a-5402-559d763f5eac4%22	http://gallantsalons.com/wp-content/themes/moesia/inc/prettyphoto/js/jquery.prettyPhoto.min.js?ver=1	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/inc/prettyphoto/js/jquery.prettyPhoto.min68b3.js	(from http://gallantsalons.com/)
13:19:56	161/161	---M--	200	added ('OK')	application/javascript	etag:%2298a0729-a1-559d763f5eac4%22	http://gallantsalons.com/wp-content/themes/moesia/inc/prettyphoto/js/prettyphoto-init.js?ver=1	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/inc/prettyphoto/js/prettyphoto-init68b3.js	(from http://gallantsalons.com/)
13:19:56	8343/8343	---M--	200	added ('OK')	application/javascript	etag:%2298a0709-2097-559d763f5df0c%22	http://gallantsalons.com/wp-content/themes/moesia/js/wow.min.js?ver=1	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/js/wow.min68b3.js	(from http://gallantsalons.com/)
13:19:56	58/58	---M--	200	added ('OK')	application/javascript	etag:%2298a070e-3a-559d763f5df0c%22	http://gallantsalons.com/wp-content/themes/moesia/js/wow-init.js?ver=1	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/js/wow-init68b3.js	(from http://gallantsalons.com/)
13:19:58	5699/5699	---M--	200	added ('OK')	application/javascript	etag:%2298a0717-1643-559d763f5e2f4%22	http://gallantsalons.com/wp-content/themes/moesia/js/jquery.sticky.js?ver=1	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/js/jquery.sticky68b3.js	(from http://gallantsalons.com/)
13:20:00	3327/3327	---M--	200	added ('OK')	application/javascript	etag:%2298a070a-cff-559d763f5df0c%22	http://gallantsalons.com/wp-content/themes/moesia/js/scripts.js?ver=1	C:/My%20Web%20Sites/gab/gallantsalons.com/wp-content/themes/moesia/js/scripts68b3.js	(from http://gallantsalons.com/)
